code,name,desc,lan,lon,location_type
3703,31 Modified,"""""",30.610043,-96.33551084,0
3107,Renaissance Park,"""""",30.59521038,-96.32364609,0
3108,Willowick/Madison Point,"""""",30.5937298,-96.32618078,0
3110,The Woodlands #2,"""""",30.59185091,-96.32947855,0
3704,26 Modified,"""""",30.61040778,-96.33587026,0
2602,Scandia,"""""",30.61123256,-96.32359915,0
2703,Lexington,"""""",30.60922895,-96.32085391,0
2604,Lemon Tree,"""""",30.60711671,-96.31767147,0
2605,Brentwood,"""""",30.60619805,-96.31344028,0
2606,Kroger,"""""",30.60565222,-96.31079294,0
2607,Southwest Parkway @ Cornell,"""""",30.60950387,-96.30657114,0
2608,Southwest Parkway @ Dartmouth,"""""",30.61214167,-96.30358611,0
2609,Hickory Park,"""""",30.6135017,-96.30216427,0
2610,Eastmark/Windsor Point,"""""",30.61557505,-96.29981734,0
2611,Trails @ Wolf Pen Creek,"""""",30.61759722,-96.30206389,0
2612,Carnation,"""""",30.61573611,-96.30389167,0
2613,Brentwood,"""""",30.61271582,-96.30549156,0
2614,Brentwood @ Cornell,"""""",30.61173056,-96.30793611,0
2615,Redstone,"""""",30.60802329,-96.31283008,0
2616,Denver,"""""",30.6064314,-96.31570675,0
2617,Lemon Tree,"""""",30.60713146,-96.31762587,0
2618,Lexington,"""""",30.60901437,-96.32052668,0
2714,Scandia,"""""",30.61160538,-96.32406585,0
2620,Taos,"""""",30.61252002,-96.32519104,0
601,MSC,"""""",30.61391074,-96.341578,0
605,Lot 71,"""""",30.61582584,-96.35268234,0
606,Transit,"""""",30.61781604,-96.3544982,0
608,GSC,"""""",30.62174413,-96.3581688,0
3708,Equine Center,"""""",30.61575342,-96.36901297,0
304,Bonfire on Polo Road,"""""",30.62324617,-96.33678355,0
3710,Bonfire,"""""",30.61491389,-96.33809783,0
3707,WHR on Joe Routt,"""""",30.6104574,-96.34304919,0
05Temp,61,"""""",30.60954008,-96.34436213,0
503,Kleberg,"""""",30.60936037,-96.34679087,0
3712,W lot,"""""",30.61136264,-96.35142975,0
3706,Reed/Olsen on Joe Routt,"""""",30.61075915,-96.34260394,0
507,Lot 100a/b,"""""",30.60707647,-96.34793752,0
112,Penberthy,"""""",30.603658,-96.34599023,0
806,Olsen Field,"""""",30.60466517,-96.34193875,0
512,Centeq/HP,"""""",30.60120378,-96.35825866,0
513,Lot 41/43,"""""",30.59811789,-96.3551996,0
514,Lot 111,"""""",30.59905935,-96.35268503,0
515,TTI,"""""",30.60183007,-96.35284462,0
