calendar_id,date,exception_type
3,20161019,1
3,20161020,1
3,20161021,1
3,20160906,1
3,20161022,1
3,20160907,1
3,20161023,1
3,20160908,1
3,20161024,1
3,20160909,1
3,20161025,1
3,20160911,1
3,20161026,1
3,20161027,1
3,20160912,1
3,20161028,1
3,20160913,1
3,20161030,1
3,20160914,1
3,20161031,1
3,20161113,1
3,20160915,1
3,20161101,1
3,20160916,1
3,20161102,1
3,20160917,1
3,20161103,1
3,20160918,1
3,20161104,1
3,20160919,1
3,20161105,1
3,20160920,1
3,20161106,1
3,20160921,1
3,20161107,1
3,20160922,1
3,20161108,1
3,20160923,1
3,20161109,1
3,20160924,1
3,20161110,1
3,20160925,1
3,20161111,1
3,20160926,1
3,20160927,1
3,20161114,1
3,20160928,1
3,20161115,1
3,20160929,1
3,20161116,1
3,20160930,1
3,20161117,1
3,20161001,1
3,20161118,1
3,20161002,1
3,20161120,1
3,20161003,1
3,20161121,1
3,20161004,1
3,20161122,1
3,20161005,1
3,20161123,1
3,20161006,1
3,20161125,1
3,20161007,1
3,20161009,1
2,20160910,1
3,20161010,1
2,20161008,1
3,20161011,1
2,20161029,1
3,20161012,1
2,20161112,1
3,20161013,1
2,20161119,1
3,20161014,1
2,20161124,1
3,20161015,1
3,20161016,1
3,20161017,1
3,20161018,1
6,20161218,1
6,20161008,1
14,20161127,1
7,20160922,1
6,20161223,1
12,20160907,1
6,20161126,1
4,20161107,1
8,20161215,1
11,20161203,1
11,20161210,1
7,20161006,1
6,20161224,1
15,20161202,1
14,20160911,1
12,20161102,1
8,20161216,1
13,20160906,1
14,20161113,1
4,20160926,1
6,20161225,1
4,20161205,1
14,20161016,1
15,20161007,1
8,20161219,1
12,20160914,1
13,20161004,1
4,20161212,1
6,20161226,1
13,20161115,1
11,20161022,1
13,20161206,1
6,20161112,1
6,20160910,1
15,20160916,1
12,20161116,1
6,20161124,1
12,20161026,1
13,20161025,1
13,20161213,1
7,20161201,1
8,20161220,1
15,20161111,1
7,20161103,1
15,20161104,1
6,20161227,1
14,20160925,1
11,20160924,1
15,20160930,1
8,20161221,1
4,20161128,1
7,20160908,1
14,20161120,1
6,20161228,1
11,20161105,1
14,20160918,1
15,20160923,1
8,20161222,1
4,20161031,1
4,20161024,1
6,20161119,1
15,20161014,1
4,20160919,1
15,20161028,1
15,20161021,1
14,20160904,1
14,20161023,1
12,20161019,1
12,20160928,1
5,20161214,1
10,20161208,1
12,20161005,1
6,20161125,1
13,20160920,1
4,20161003,1
12,20161012,1
4,20160912,1
4,20161121,1
12,20160921,1
15,20160909,1
4,20161017,1
7,20161013,1
7,20160915,1
4,20160905,1
14,20161106,1
13,20161018,1
13,20161122,1
12,20161130,1
15,20161209,1
7,20161027,1
14,20161030,1
6,20161029,1
14,20161002,1
13,20161129,1
14,20161204,1
4,20161114,1
14,20161211,1
13,20160913,1
4,20161010,1
7,20161020,1
13,20161011,1
12,20161109,1
6,20160903,1
13,20161108,1
13,20160927,1
15,20161118,1
7,20160929,1
8,20161123,1
7,20161117,1
6,20161230,1
11,20161015,1
12,20161207,1
6,20161229,1
6,20161231,1
11,20161001,1
14,20161009,1
13,20161101,1
6,20161217,1
11,20160917,1
7,20161110,1
18,20161207,1
27,20161013,1
17,20160830,1
20,20161123,1
22,20161107,1
23,20161111,1
18,20160831,1
26,20161001,1
21,20161009,1
21,20161023,1
22,20161010,1
16,20161226,1
17,20161108,1
17,20160927,1
17,20161011,1
20,20161215,1
23,20160923,1
22,20160905,1
27,20160901,1
22,20161121,1
21,20160925,1
18,20160928,1
22,20160926,1
26,20161022,1
23,20160902,1
17,20160906,1
21,20160904,1
26,20160917,1
18,20160907,1
27,20160908,1
27,20160929,1
22,20161205,1
22,20161128,1
21,20161016,1
22,20161024,1
16,20161231,1
23,20160909,1
21,20160911,1
21,20161113,1
20,20161219,1
26,20161105,1
26,20160827,1
17,20161025,1
27,20161006,1
23,20161209,1
16,20160903,1
22,20161114,1
18,20161116,1
22,20160919,1
21,20161106,1
17,20161101,1
26,20160924,1
23,20161007,1
18,20161026,1
20,20161220,1
17,20161213,1
23,20161014,1
17,20161115,1
16,20160910,1
21,20161211,1
17,20161122,1
23,20160930,1
20,20161221,1
16,20161125,1
16,20161008,1
21,20161002,1
17,20161129,1
16,20161227,1
20,20161222,1
22,20161003,1
26,20161015,1
16,20161228,1
27,20161201,1
20,20161216,1
16,20161029,1
21,20160918,1
22,20160912,1
23,20161202,1
26,20161210,1
20,20161223,1
27,20161027,1
16,20161224,1
17,20161004,1
18,20161102,1
23,20161028,1
16,20161112,1
16,20161229,1
26,20161203,1
16,20161218,1
18,20161005,1
16,20161225,1
21,20161030,1
22,20161017,1
16,20161230,1
17,20160920,1
17,20160913,1
17,20161018,1
27,20161117,1
18,20160921,1
18,20160914,1
16,20161119,1
19,20161214,1
27,20161103,1
22,20161031,1
21,20161204,1
22,20161212,1
21,20160828,1
27,20160915,1
16,20161217,1
23,20161118,1
23,20161104,1
23,20160916,1
17,20161206,1
21,20161120,1
23,20161021,1
18,20161109,1
16,20161124,1
16,20161126,1
27,20160922,1
18,20161012,1
18,20161019,1
25,20161208,1
22,20160829,1
16,20161127,1
27,20161020,1
27,20161110,1
18,20161130,1
