shape_id,pt_lan,pt_lon,pt_sequence,shape_dist_traveled
1,30.65049339,-96.29131876,31,16989.71
2,30.61353389,-96.34490125,18,4385.94
3,30.62097568,-96.33822389,21,3883.9
4,30.61194066,-96.35094025,3,150.18
5,30.61235238,-96.3454377,12,1836.1
2,30.61236042,-96.34549134,11,3269.66
6,30.62851805,-96.30738519,7,4231.79
7,30.61469797,-96.34229281,16,9337.68
7,30.67302529,-96.37196877,0,0
8,30.61674986,-96.33512058,1,350.26
7,30.6736194,-96.37188964,1,66.45
3,30.62340844,-96.33868255,26,4309.14
7,30.61323751,-96.34476178,20,9879.13
9,30.61391074,-96.341578,0,0
7,30.61506677,-96.34470948,18,9668.88
7,30.67343567,-96.37017839,2,231.27
7,30.66128928,-96.37181588,3,1590.02
10,30.61352584,-96.34131782,1,20.2
7,30.61254147,-96.34559729,21,9990.33
7,30.63469116,-96.36548721,22,13100.82
7,30.6519619,-96.36248984,4,2957.12
7,30.64983759,-96.36570447,5,3344.62
7,30.63958619,-96.35820099,24,13995.07
11,30.65270487,-96.2928275,2,306.57
7,30.63773815,-96.36210763,23,13568.84
7,30.63958619,-96.35820099,6,4690.8
7,30.64983759,-96.36570447,25,15341.25
7,30.63469116,-96.36548721,8,5586.5
7,30.63746188,-96.36259445,7,5172.63
7,30.6519619,-96.36248984,26,15728.75
7,30.66128928,-96.37181588,27,17095.85
7,30.61246101,-96.34552219,9,8708.46
7,30.67243789,-96.37024143,28,18343.79
7,30.61267827,-96.34405368,11,8877.57
7,30.61252672,-96.34293788,12,8985.6
12,30.62315229,-96.33893736,14,2353.13
7,30.67259345,-96.37205326,29,18517.81
4,30.61136264,-96.35142975,22,2857.13
7,30.67302529,-96.37196877,30,18566.47
13,30.61243553,-96.34555437,23,18660.76
7,30.61594386,-96.34352796,17,9519.66
13,30.6606992,-96.37165763,12,8197.9
3,30.62174145,-96.33871876,3,250.77
7,30.61289418,-96.34214394,14,9072.71
7,30.61268497,-96.3424591,13,9034.65
7,30.61353926,-96.34132319,15,9179.01
14,30.62155906,-96.31565042,9,5324.2
13,30.61289418,-96.34214394,0,0
13,30.6135473,-96.34132989,1,106.43
13,30.61596934,-96.34334289,2,437.33
3,30.61116818,-96.34198972,13,1961.56
13,30.61501179,-96.34475642,3,609.36
13,30.61302025,-96.34454318,24,18777.26
15,30.61161879,-96.35059424,11,1523.15
13,30.64712454,-96.35796093,11,6200.5
13,30.61254147,-96.34304651,26,18932.79
11,30.61670024,-96.33506962,18,9223.79
13,30.6724513,-96.37017035,13,9511.51
13,30.61289418,-96.34214394,27,19027.59
3,30.62021259,-96.33756273,20,3778.13
