short_name,long_name,route_type,color,text_color
35G,Hullabaloo Modified,3,5E3C31,FFFFFF
22G,Excel Modified,3,FD9FC8,0
DTB,Downtown Bryan Shuttle,3,0032A0,FFFFFF
PAR, Para Shuttle,3,0081C9,0
26G,Rudder Modified,3,94D500,0
BON, Bonfire,3,FFDD00,0
WHR, WHR,3,00B497,0
GTG,Get to the Grid,3,320000,FFFFFF
BL, Bush Library,3,F6323E,0
31G,E-Walk Modified,3,783CBD,0
STO, Stotzer,3,67B2E7,0
RO, Reed/Olsen,3,FF48C3,0
AGR, Agronomy Rd,3,FF5000,0
35,Hullabaloo,3,603813,FFFFFF
2,Replant,3,EA7401,0
PARA,P-Transit,3,DC143C,0
8,Howdy,3,E9168B,0
12,Reveille,3,0054A6,FFFFFF
OC,On Call,3,DC143C,0
9,Vet School,3,DC143C,0
6,12th Man,3,14B24B,0
15X,Old Army,3,DC143C,0
05X,Extra,3,DC143C,0
5/22X,extra,3,DC143C,0
4,Gig Em,3,EC2727,0
15,Old Army,3,28903A,0
N_W04,Night/Weekend 04,3,EC2727,0
STBY,Standby,3,DC143C,0
40,Century Tree,3,55565A,0
1,Bonfire,3,624099,0
35EXC,Hullabaloo,3,DC143C,0
DISP,Student Dispatch,3,DC143C,0
5,Bush School,3,5E9BD3,0
OCADM,OnCall Used,3,DC143C,0
3,Yell Practice,3,10101,FFFFFF
09X,09 Extra,3,DC143C,0
35EX,35X,3,DC143C,0
22EXC,Excel,3,DC143C,0
27,Ring Dance,3,00AEEF,0
36,Cotton Bowl,3,967348,0
22,Excel,3,BD1A8D,0
26,Rudder,3,006F3B,FFFFFF
27EXD,Ring Dance,3,DC143C,0
31,E-Walk,3,662D91,0
36EX,36X,3,DC143C,0
34,Fish Camp,3,EA7424,0
40EX,40X,3,DC143C,0
31EXC,E-Walk ,3,DC143C,0
27EX,Ring Dance Extra,3,DC143C,0
