typeofrack,typeQuantity,total_Capacity,lat,lon
Coat Hanger,10,100,30.6193286,-96.34144669
Coat Hanger,26,260,30.62044961,-96.34030937
Ring,1,34,30.62122782,-96.33918936
Ring,3,26,30.6210657,-96.33875826
Ring,3,28,30.62079829,-96.33851273
Coat Hanger,6,60,30.61990325,-96.33936012
Coat Hanger,10,100,30.619345,-96.33918154
Potato Masher,6,24,30.62057699,-96.34155971
Ring,3,41,30.61900572,-96.34114346
Ring,2,31,30.61940953,-96.34099436
Ring,1,37,30.61931963,-96.3405331
Coat Hanger,9,90,30.61852934,-96.3406052
Coat Hanger,6,60,30.61804855,-96.34106882
Coat Hanger,6,60,30.6189568,-96.34208173
Ring,1,59,30.61955283,-96.34267417
Coat Hanger,5,50,30.618445,-96.33995449
Potato Masher,1,1,30.62825969,-96.34177487
Potato Masher,1,2,30.62797036,-96.34142535
Fence,1,8,30.61818994,-96.36090057
Coat Hanger,1,10,30.62009948,-96.3552163
Potato Masher,2,8,30.61912542,-96.35401921
Ring,1,6,30.6154096,-96.35267307
Ring,1,8,30.6147364,-96.35070444
Ring,2,23,30.61370305,-96.35176477
Ring,1,10,30.61321602,-96.35268163
Ring,2,28,30.61242872,-96.35289394
Ring,1,22,30.61138362,-96.35471657
Ring,1,10,30.60367902,-96.35396795
Rack,0,0,30.60234388,-96.35546564
Potato Masher,2,6,30.60207055,-96.35938723
Potato Masher,2,12,30.59685778,-96.3537744
Rack,0,0,30.59780761,-96.35317131
Ring,2,32,30.60593882,-96.34558643
Coat Hanger,9,90,30.61036965,-96.34869614
Ring,1,34,30.60949196,-96.34834418
Ring,1,11,30.60836833,-96.34907931
Ring,2,42,30.60948192,-96.35014151
Coat Hanger,3,30,30.6106487,-96.35036467
Ring,3,60,30.61131324,-96.35153708
Ring,1,10,30.61087123,-96.3520145
Coat Hanger,1,10,30.61440868,-96.34863219
Coat Hanger,3,30,30.61721543,-96.34523332
Coat Hanger,3,30,30.61701268,-96.34509341
Ring,2,27,30.61682732,-96.34533355
Coat Hanger,6,60,30.61598181,-96.34657904
Ring,3,60,30.6156724,-96.34640567
Ring,6,66,30.61570257,-96.34574298
Ring,4,52,30.61567826,-96.34523483
Ring,6,76,30.61546097,-96.34498302
Coat Hanger,4,40,30.6154247,-96.34463934
Ring,1,30,30.61481624,-96.34532057
Ring,4,90,30.61467098,-96.34516643
Ring,3,45,30.6145336,-96.34559399
Ring,13,244,30.61466792,-96.34599924
Coat Hanger,24,240,30.61599439,-96.3440638
Ring,3,35,30.61592074,-96.3436568
Ring,3,190,30.61776436,-96.34439304
Coat Hanger,3,30,30.61713644,-96.3418489
Ring,1,19,30.61634248,-96.3414384
Ring,1,25,30.61617637,-96.34138653
Ring,2,38,30.61650369,-96.34153544
Ring,5,50,30.61642941,-96.3418789
Ring,1,18,30.6161917,-96.34207988
Ring,1,22,30.61638267,-96.34225644
Ring,1,13,30.61700839,-96.34074289
Coat Hanger,12,120,30.61707735,-96.34009408
Ring,1,22,30.61724423,-96.33926767
Coat Hanger,10,100,30.61768524,-96.33882311
Coat Hanger,6,60,30.61723016,-96.33865271
Ring,1,6,30.61700012,-96.3384705
Ring,2,26,30.61609608,-96.33950307
Coat Hanger,5,50,30.61661015,-96.34021596
Coat Hanger,5,50,30.61591115,-96.34058029
Ring,1,26,30.61220633,-96.34347394
Potato Masher,4,15,30.61200915,-96.34314458
Ring,1,17,30.61167491,-96.34286758
Coat Hanger,4,40,30.61189393,-96.34111551
Coat Hanger,4,40,30.61198353,-96.34097883
Coat Hanger,7,70,30.61232848,-96.34052641
Coat Hanger,6,60,30.61168824,-96.33949522
Ring,1,8,30.60862808,-96.33791981
Ring,4,52,30.6127929,-96.33551
Ring,6,92,30.61222483,-96.33627532
Ring,8,160,30.61340844,-96.33762879
Ring,3,160,30.61387099,-96.3352306
Ring,3,145,30.61422199,-96.33554535
Ring,5,124,30.61396273,-96.33587332
Ring,6,102,30.61412353,-96.33659296
Ring,4,112,30.61478595,-96.3372333
Coat Hanger,2,20,30.61501769,-96.33735784
Coat Hanger,6,60,30.61548011,-96.33654713
Ring,7,104,30.61538151,-96.33638246
Coat Hanger,18,180,30.61571733,-96.33636261
Ring,7,110,30.6156631,-96.33602237
Coat Hanger,6,60,30.61592303,-96.33603667
Ring,3,123,30.61445484,-96.33502254
Ring,2,75,30.61486919,-96.33439139
Ring,3,68,30.61467856,-96.33395921
Ring,3,81,30.61527311,-96.33448141
Ring,6,168,30.61563219,-96.3347635
Ring,4,112,30.61619403,-96.33518547
Ring,1,12,30.61671777,-96.3342287
Ring,1,5,30.61641056,-96.33582897
Coat Hanger,7,70,30.61692902,-96.33554001
Coat Hanger,1,10,30.61853671,-96.33605243
Ring,3,32,30.61708965,-96.3363875
Coat Hanger,4,40,30.61707468,-96.33689823
Coat Hanger,14,140,30.61738714,-96.33682388
Coat Hanger,4,40,30.61598512,-96.3378122
U,65,65,30.61613975,-96.33898521
Coat Hanger,16,160,30.61508338,-96.33803665
Ring,1,27,30.61451032,-96.34067381
Coat Hanger ,4,40,30.61454317,-96.34004009
Ring,15,296,30.61528208,-96.33989587
Ring,1,7,30.61437948,-96.33941929
Coat Hanger,1,10,30.6191195,-96.33661132
U,22,44,30.61914168,-96.33768021
Coat Hanger,6,60,30.61873963,-96.33886443
Coat Hanger,9,90,30.61481508,-96.33827146
Coat Hanger,6,60,30.61691478,-96.34413095
Coat Hanger,2,20,30.61700907,-96.34155824
Potato Masher,1,6,30.60462333,-96.35578959
Fence,1,5,30.6002751,-96.3595571
Ring,4,36,30.60212532,-96.34656377
U,11,22,30.61710377,-96.34285248
Coat Hanger,1,10,30.60822146,-96.34382185
Coat Hanger,1,10,30.60772612,-96.34452606
Coat Hanger,11,110,30.60920397,-96.34381919
Coat Hanger,47,235,30.60906761,-96.3443127
