number,abbr,name,address,numberoffloors,lan,lon
7,,Maintenance Machine Shed,10720 FM 50,1,30.51953606,-96.41673369
10,,Implement Barn,,1,30.51999039,-96.4167104
14,,Implement Storage Shed,10720 FM 50,1,30.51973088,-96.41593222
39,ARTF,Aquaculture Research Teaching Facility,300 Aquatic Facility Rd,1,30.54506694,-96.43826562
40,,Farm Service Office Bldg,14250 FM 60 E,1,30.54938833,-96.43676954
41,,Farm Service Lab & Office,201 Reveille Rd,1,30.54944653,-96.43652995
42,,Farm Service East Wing,201 Reveille Rd,1,30.54931666,-96.43620662
43,,Farm Service Maint Shed,201 Reveille Rd,1,30.54899577,-96.43620785
44,,Farm Service Chemical Storage,201 Reveille Rd,1,30.54844084,-96.4361082
45,,Farm Service West Wing Shed,201 Reveille Rd,1,30.54899618,-96.43662599
46,,Farm Service Northwest Shed,201 Reveille Rd,1,30.54921225,-96.43677357
47,,Aquatic Research Center,350 Aquatic Facility Rd,1,30.54513127,-96.43770377
48,,MARINE RESEARCH LAB (Demolished 2011),261 Aquatic Rd,1,30.54517605,-96.43962277
50,,Field Lab Equipment Shed,201 Reveille Rd,1,30.54873325,-96.43583351
51,,Field Lab Implement Shed,201 Reveille Rd,1,30.54855339,-96.43666445
52,,Pump House,344 Aquatic Rd,1,30.54497586,-96.43783992
53,,Hatchery,362 Aquatic Rd,1,30.5450293,-96.43760686
54,,Sample Processing Laboratory,201 Reveille Rd,1,30.54830125,-96.43625251
55,,Storage Shed,201 Reveille Rd,1,30.54885824,-96.43699964
57,,Hatchery Bldg,,1,30.544855,-96.43892848
60,,Rainwater Restroom,,1,30.53164011,-96.42134393
62,,Disability Services Bldg,701 West Campus Bl,1,30.60719469,-96.35468228
63,,Conference Building #2,713 West Campus Bl,1,30.60710734,-96.35444274
64,,Residence Life Bldg,735 West Campus Bl,1,30.60682839,-96.35414819
65,,Student Counseling Service Reception Bldg,757 West Campus Bl,1,30.60696457,-96.35494129
66,,Student Counseling Service Bldg #1,769 West Campus Bl,1,30.60676591,-96.35462504
67,,Student Counseling Service Bldg #2,781 West Campus Bl,1,30.60659781,-96.35481848
68,,Student Life Bldg #2,803 West Campus Bl,1,30.60667114,-96.35529162
69,,Conference Building #1,815 West Campus Bl,1,30.6065215,-96.35511771
70,,Student Life Bldg #1,837 West Campus Bl,1,30.60628515,-96.35523193
113,,Farm Superintendent House,10724 FM 50,1,30.51766104,-96.41579263
114,,Office Metal Building,,1,30.51910772,-96.41585574
117,,North Gate Post Office Building,,1,30.61825413,-96.3449627
