lotname,lottype,lat,lon
Lot 001,Surface,30.63646463,-96.3279599
Systems HQ,Surface,30.5510603,-96.24259964
Lot 003,Surface,30.61574622,-96.35125333
Lot 004,Surface,30.61744634,-96.3421176
Lot 005,Surface,30.61996547,-96.34165213
Lot 006,Surface,30.61554797,-96.33865526
Stu Comp Ctr LZ,Surface Loading,30.61607867,-96.33836327
Lot 007,Surface,30.61877698,-96.34111597
Lot 008,Surface,30.61197975,-96.33393829
Companion Animal Care,Surface,30.60946406,-96.35624678
Lot 010a,Surface,30.61656156,-96.34200405
Lot 010b,Surface,30.61654957,-96.34251306
Thompson Hall,CitArea,30.6169588,-96.34104479
Harrington Mall Area,CitArea,30.61689366,-96.34096758
Lot 011,Surface,30.61754324,-96.34349621
Lot 012,Surface,30.61174731,-96.3538553
Lot 013,Surface,30.61069915,-96.35527368
Veni LZ,Surface,30.61200644,-96.35650497
Lot 014,Surface,30.61985192,-96.33925239
Lot 015,Surface,30.61717843,-96.33671096
Lot 018,Surface,30.61084172,-96.353279
Lot 019,Surface,30.61436554,-96.34026562
Lot 020,Surface,30.61462483,-96.34434
Lot 021,Surface,30.61409237,-96.33917991
Lot 022,Surface,30.61503573,-96.33890706
Lot 023,Surface,30.61790359,-96.33919886
Lot 024,Surface,30.61072017,-96.35787219
Lot 025,Surface,30.61016057,-96.35755624
Lot 026,Surface,30.61139937,-96.33592553
Lot 027,Surface,30.61591188,-96.34282831
Lot 028,Surface,30.61429787,-96.34148053
Lot 029,Surface,30.62064491,-96.33964082
Lot 030a,Surface,30.6172906,-96.34591201
Lot 030c,Surface,30.6153975,-96.34703275
Lot 030d,Surface,30.61395018,-96.34625812
Lot 030e,Surface,30.61347182,-96.3456507
Lot 031,Surface,30.61496183,-96.33552437
Lot 032,Surface,30.61651472,-96.34442446
Lot 033,Surface,30.61493526,-96.35837696
Lot 033a,Surface,30.6141197,-96.35617721
Lot 034,Surface,30.61152895,-96.33560828
Lot 035,Surface,30.61616229,-96.33649464
Lot 036a,Surface,30.61414597,-96.35160753
Lot 036b,Surface,30.61352765,-96.3530883
Lot 036c,Surface,30.61439487,-96.35423397
Lot 036d,Surface,30.61547619,-96.35349135
Lot 036e,Surface,30.61499092,-96.35503714
Lot 037,Surface,30.61526127,-96.35057511
Lot 038,Surface,30.61300883,-96.35200029
Lot 040a,Surface,30.61272334,-96.33422393
Lot 040b,Surface,30.61217729,-96.33222159
Lot 040c,Surface,30.61122934,-96.33302707
Lot 040d,Surface,30.61087478,-96.33390479
Lot 041,Surface,30.59679319,-96.35490622
Lot 042,Surface,30.61386067,-96.34470912
Lot 043,Surface,30.59582205,-96.35572627
Lot 044,Surface,30.60886375,-96.36228927
Lot 045,Surface,30.61314851,-96.35554298
Large Animal Clinic,Surface,30.61201816,-96.35518743
Lot 047,Surface,30.62124587,-96.33777052
Lot 048,Surface,30.60893753,-96.33801537
Lot 049,Surface,30.61561174,-96.34988397
Lot 050,Surface,30.62317106,-96.33792149
Lot 051,Surface,30.62188941,-96.33690459
Lot 051 Visitor,Surface Visitor,30.62146771,-96.33729339
